island,kind,day,idx,name,distance_km,json_lat,json_lng,osm_lat,osm_lng,gmaps_link_json,gmaps_link_osm
zakynthos,stop,1,1,National Marine Park,3.88,37.69,20.88,37.7064,20.919,"https://www.google.com/maps?q=37.69,20.88","https://www.google.com/maps?q=37.7064,20.919"
thasos,stop,0,4,Chrysi Ammoudia (Golden Beach),3.74,40.7217,24.8026,40.7312,24.76,"https://www.google.com/maps?q=40.7217,24.8026","https://www.google.com/maps?q=40.7312,24.76"
thasos,beach,,2,Chrysi Ammoudia,3.74,40.7217,24.8026,40.7312,24.76,"https://www.google.com/maps?q=40.7217,24.8026","https://www.google.com/maps?q=40.7312,24.76"
syros,stop,1,2,Poseidonia (Della Grazia),3.64,37.3903657,24.8873192,37.4109,24.9194,"https://www.google.com/maps?q=37.3903657,24.8873192","https://www.google.com/maps?q=37.4109,24.9194"
heraklion,stop,3,3,Agia Galini,3.47,35.0963,24.6884,35.1186,24.7152,"https://www.google.com/maps?q=35.0963,24.6884","https://www.google.com/maps?q=35.1186,24.7152"
koufonisia,stop,2,0,Boat to Kato Koufonisi,3.42,36.9323,25.6012,36.9108,25.5738,"https://www.google.com/maps?q=36.9323,25.6012","https://www.google.com/maps?q=36.9108,25.5738"
zakynthos,stop,3,3,Zakynthos Town — Departure,3.31,37.7541,20.8864,37.7829,20.8962,"https://www.google.com/maps?q=37.7541,20.8864","https://www.google.com/maps?q=37.7829,20.8962"
lefkada,stop,1,2,Meganisi Island,3.28,38.6433,20.7833,38.6345,20.7473,"https://www.google.com/maps?q=38.6433,20.7833","https://www.google.com/maps?q=38.6345,20.7473"
samothrace,beach,,1,Vatos,3.18,40.3957907,25.6031552,40.4218,25.5874,"https://www.google.com/maps?q=40.3957907,25.6031552","https://www.google.com/maps?q=40.4218,25.5874"
tinos,beach,,3,Livada Beach,3.1,37.6279,25.2102,37.6101,25.2373,"https://www.google.com/maps?q=37.6279,25.2102","https://www.google.com/maps?q=37.6101,25.2373"
fournoi,stop,1,0,Drive to Chrysomilia,3.06,37.6383,26.4781,37.6306,26.5115,"https://www.google.com/maps?q=37.6383,26.4781","https://www.google.com/maps?q=37.6306,26.5115"
ikaria,stop,1,4,Return to Evdilos,3.05,37.6583,26.1783,37.6309,26.178,"https://www.google.com/maps?q=37.6583,26.1783","https://www.google.com/maps?q=37.6309,26.178"
ikaria,stop,2,2,Evdilos,3.05,37.6583,26.1783,37.6309,26.178,"https://www.google.com/maps?q=37.6583,26.1783","https://www.google.com/maps?q=37.6309,26.178"
sifnos,stop,1,4,Vathy Beach,3.02,36.9569,24.6822,36.9311,24.6928,"https://www.google.com/maps?q=36.9569,24.6822","https://www.google.com/maps?q=36.9311,24.6928"
sifnos,beach,,2,Vathy Beach,3.02,36.9569,24.6822,36.9311,24.6928,"https://www.google.com/maps?q=36.9569,24.6822","https://www.google.com/maps?q=36.9311,24.6928"
astypalaia,stop,2,2,Agios Konstantinos Beach,3.01,36.5236,26.3197,36.5282,26.3529,"https://www.google.com/maps?q=36.5236,26.3197","https://www.google.com/maps?q=36.5282,26.3529"
samothrace,stop,0,0,Kamariotissa (port),3.0,40.4742622,25.471439,40.4791,25.5064,"https://www.google.com/maps?q=40.4742622,25.471439","https://www.google.com/maps?q=40.4791,25.5064"
rhodes,stop,4,1,Lindos Village,2.94,36.0925,28.0848,36.1135,28.0649,"https://www.google.com/maps?q=36.0925,28.0848","https://www.google.com/maps?q=36.1135,28.0649"
lesvos,stop,0,4,Agios Isidoros Beach,2.93,38.97,26.3583,38.9678,26.392,"https://www.google.com/maps?q=38.97,26.3583","https://www.google.com/maps?q=38.9678,26.392"
lesvos,beach,,1,Agios Isidoros Beach,2.93,38.97,26.3583,38.9678,26.392,"https://www.google.com/maps?q=38.97,26.3583","https://www.google.com/maps?q=38.9678,26.392"
leipsoi,stop,0,3,Moschato Bay,2.89,37.3175,26.7508,37.3202,26.7183,"https://www.google.com/maps?q=37.3175,26.7508","https://www.google.com/maps?q=37.3202,26.7183"
lasithi,stop,1,0,Spinalonga Island,2.84,35.2972,25.7383,35.2727,25.7472,"https://www.google.com/maps?q=35.2972,25.7383","https://www.google.com/maps?q=35.2727,25.7472"
gavdos,stop,0,2,Sarakiniko Beach,2.8,34.8456,24.1339,34.8599,24.1087,"https://www.google.com/maps?q=34.8456,24.1339","https://www.google.com/maps?q=34.8599,24.1087"
gavdos,beach,,0,Sarakiniko Beach,2.8,34.8456,24.1339,34.8599,24.1087,"https://www.google.com/maps?q=34.8456,24.1339","https://www.google.com/maps?q=34.8599,24.1087"
thasos,stop,1,2,Aliki Archaeological Site,2.8,40.5933,24.7729,40.6043,24.743,"https://www.google.com/maps?q=40.5933,24.7729","https://www.google.com/maps?q=40.6043,24.743"
lesvos,stop,2,0,Petrified Forest,2.77,39.2303,25.9035,39.2055,25.9006,"https://www.google.com/maps?q=39.2303,25.9035","https://www.google.com/maps?q=39.2055,25.9006"
santorini,stop,1,5,Return to Imerovigli,2.74,36.4328,25.4228,36.4574,25.4235,"https://www.google.com/maps?q=36.4328,25.4228","https://www.google.com/maps?q=36.4574,25.4235"
skopelos,stop,0,3,Stafylos Beach,2.6,39.1058,23.7353,39.0856,23.7503,"https://www.google.com/maps?q=39.1058,23.7353","https://www.google.com/maps?q=39.0856,23.7503"
skopelos,beach,,2,Stafylos Beach,2.6,39.1058,23.7353,39.0856,23.7503,"https://www.google.com/maps?q=39.1058,23.7353","https://www.google.com/maps?q=39.0856,23.7503"
chios,stop,2,1,Mastic Museum,2.56,38.2133,26.0467,38.2156,26.0176,"https://www.google.com/maps?q=38.2133,26.0467","https://www.google.com/maps?q=38.2156,26.0176"
ios,stop,1,2,Paleokastro (Venetian castle),2.5,36.7525,25.3175,36.7457,25.3442,"https://www.google.com/maps?q=36.7525,25.3175","https://www.google.com/maps?q=36.7457,25.3442"
fournoi,stop,0,4,Kasidi Beach,2.45,37.55,26.4778,37.5367,26.5,"https://www.google.com/maps?q=37.55,26.4778","https://www.google.com/maps?q=37.5367,26.5"
fournoi,beach,,1,Kasidi Beach,2.45,37.55,26.4778,37.5367,26.5,"https://www.google.com/maps?q=37.55,26.4778","https://www.google.com/maps?q=37.5367,26.5"
sikinos,stop,1,3,Sunset at Pantanassa,2.44,36.6953,25.1467,36.696,25.1194,"https://www.google.com/maps?q=36.6953,25.1467","https://www.google.com/maps?q=36.696,25.1194"
